,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSG00000171004,129.1775394,-1.382274572,0.273525266,-5.053553516,4.34E-07,0.000111226
ENSG00000122068,1457.921092,-0.490031498,0.0970611,-5.048690958,4.45E-07,0.00011153
ENSG00000111087,10.1633885,2.646352314,0.524781667,5.042768223,4.59E-07,0.000113747
ENSG00000165572,710.3680962,-0.447228522,0.088750935,-5.039141535,4.68E-07,0.000114073
ENSG00000177459,799.390369,-0.851143965,0.168945857,-5.037968841,4.70E-07,0.000114073
ENSG00000106049,574.7251674,-0.470977143,0.09355113,-5.034435622,4.79E-07,0.000114934
ENSG00000206417,34.40694021,1.144067851,0.228452946,5.007892739,5.50E-07,0.000130549
ENSG00000152254,18666.59074,-0.959149172,0.191708637,-5.003160974,5.64E-07,0.000132373
ENSG00000101445,44.24617805,1.519085954,0.304006064,4.996893597,5.83E-07,0.000132517
ENSG00000145888,97.05611253,-1.194293716,0.23887799,-4.999597151,5.75E-07,0.000132517
ENSG00000164326,1254.131532,4.319562839,0.864294507,4.997790457,5.80E-07,0.000132517
ENSG00000087245,322.7436613,1.704410417,0.341250251,4.99460561,5.90E-07,0.000132729
ENSG00000163364,44.85649089,1.803059782,0.361421855,4.988795654,6.08E-07,0.000135236
ENSG00000204899,480.8301919,-0.600859251,0.120482921,-4.987090657,6.13E-07,0.000135236
ENSG00000186197,564.2571549,-0.607043998,0.121969191,-4.977027338,6.46E-07,0.000141046
ENSG00000163577,208.4218489,-0.655265234,0.131744403,-4.973761461,6.57E-07,0.000142038
ENSG00000127328,1465.252376,-0.361699943,0.072750204,-4.971806549,6.63E-07,0.000142085
ENSG00000108582,2042.861151,-0.434621719,0.087587286,-4.962155324,6.97E-07,0.000147897
ENSG00000105519,117.9619635,1.037666168,0.209911535,4.943349904,7.68E-07,0.000161357
ENSG00000159403,390.2741615,1.650680006,0.33438049,4.936532057,7.95E-07,0.000165522
ENSG00000085415,555.5934743,-0.522575812,0.105963637,-4.931652277,8.15E-07,0.000167163
ENSG00000165409,74.7273074,1.589843988,0.322420958,4.930957331,8.18E-07,0.000167163
ENSG00000050030,428.9085532,-0.739491012,0.150111871,-4.926266039,8.38E-07,0.000169596
ENSG00000204642,120.9433121,0.767479599,0.155847744,4.924547377,8.46E-07,0.000169596
ENSG00000169442,95.32051641,1.915435091,0.389432292,4.918531742,8.72E-07,0.000171768
ENSG00000170485,226.4651698,0.511048713,0.10386778,4.920185204,8.65E-07,0.000171768
ENSG00000128683,80.14457695,1.827747983,0.37260898,4.905270887,9.33E-07,0.000182163
ENSG00000134817,35.10012734,2.222065358,0.453455479,4.900294429,9.57E-07,0.0001852
ENSG00000107537,852.3216662,-0.451917518,0.092390877,-4.891365176,1.00E-06,0.000192119
ENSG00000130643,87.3768683,1.228174515,0.251452918,4.884312045,1.04E-06,0.000194233
ENSG00000211448,162.6907132,1.625626806,0.332837998,4.884138275,1.04E-06,0.000194233
ENSG00000229278,30.35436671,-0.895248574,0.183193784,-4.886893833,1.02E-06,0.000194233
ENSG00000185269,15.5960068,1.944453893,0.398375292,4.880960069,1.06E-06,0.000195731
ENSG00000173726,1518.271431,-0.368088722,0.075495163,-4.875659665,1.08E-06,0.000199386
ENSG00000115761,326.0540422,-0.397055393,0.081473688,-4.873418661,1.10E-06,0.000199996
ENSG00000156687,436.6335304,-1.22880554,0.252353701,-4.869377913,1.12E-06,0.000202455
ENSG00000106333,104.3869046,1.058791133,0.21780638,4.861157565,1.17E-06,0.000209332
ENSG00000160255,45.40427609,1.966298586,0.405603942,4.847829083,1.25E-06,0.000222089
ENSG00000126709,1855.415366,1.254693318,0.258955616,4.84520605,1.26E-06,0.000223243
ENSG00000100225,1829.939853,-0.356545419,0.073754743,-4.834203272,1.34E-06,0.000230194
ENSG00000110841,307.0305266,0.694569553,0.143583479,4.837391861,1.32E-06,0.000230194
ENSG00000151474,74.00883389,1.103721324,0.228324133,4.834010786,1.34E-06,0.000230194
ENSG00000173372,107.4797074,1.6284378,0.336951822,4.832850562,1.35E-06,0.000230194
ENSG00000135447,939.6186815,-0.995715595,0.206325003,-4.825957019,1.39E-06,0.000236469
ENSG00000163820,610.5452953,0.412750103,0.085613153,4.821106175,1.43E-06,0.000239441
ENSG00000211897,23.22001479,4.347711192,0.901935655,4.820422796,1.43E-06,0.000239441
ENSG00000177551,28.72164381,1.635232017,0.339572685,4.815558166,1.47E-06,0.000243504
ENSG00000184489,190.0727627,1.508851055,0.313705739,4.80976555,1.51E-06,0.000248797
ENSG00000170633,1147.831146,-0.529837282,0.110255223,-4.805552663,1.54E-06,0.000252212
ENSG00000235020,33.54869378,1.330002088,0.277355718,4.795293561,1.62E-06,0.000263518
ENSG00000057704,743.6718428,-0.542369929,0.11323724,-4.789678103,1.67E-06,0.000267073
ENSG00000099331,80.26787665,0.779919268,0.162803183,4.790565224,1.66E-06,0.000267073
ENSG00000106993,595.4715265,-0.355752144,0.074316371,-4.786995643,1.69E-06,0.000268719
ENSG00000130826,852.1726805,-0.315697161,0.066005946,-4.782859422,1.73E-06,0.000271365
ENSG00000149451,15.90390832,1.880396849,0.393327795,4.780737267,1.75E-06,0.000271365
ENSG00000271959,32.43625388,2.193585697,0.45876326,4.781519993,1.74E-06,0.000271365
ENSG00000107957,872.3216045,0.504138903,0.105955077,4.758043844,1.95E-06,0.000299502
ENSG00000120438,1882.640947,-0.45086894,0.094751557,-4.75843306,1.95E-06,0.000299502
ENSG00000137040,743.6723132,-0.510662947,0.107384323,-4.755470201,1.98E-06,0.000301251
ENSG00000141753,625.7767,1.360939021,0.286391988,4.752014993,2.01E-06,0.000304348
ENSG00000172724,29.18340741,3.375598158,0.710600714,4.750344447,2.03E-06,0.000304785
ENSG00000138660,225.0927895,-0.680648401,0.14333099,-4.748787414,2.05E-06,0.000305066
ENSG00000228526,78.3564017,0.908988968,0.191690905,4.741951475,2.12E-06,0.000313427
ENSG00000174326,21.103163,1.382392298,0.291878072,4.736197848,2.18E-06,0.000320303
ENSG00000276234,428.7212182,-0.401027549,0.08480349,-4.728903832,2.26E-06,0.000329828
ENSG00000115484,1441.943682,-0.430960168,0.091290543,-4.720753702,2.35E-06,0.000341065
ENSG00000182511,28.60712637,1.624206461,0.34579515,4.697019203,2.64E-06,0.000380674
ENSG00000051341,15.51334275,1.274283032,0.271744797,4.689263773,2.74E-06,0.000385473
ENSG00000138442,393.7471283,-0.494586829,0.105474056,-4.68917994,2.74E-06,0.000385473
ENSG00000174456,457.6186672,-0.383633344,0.081751554,-4.692673412,2.70E-06,0.000385473
ENSG00000251562,614534.9998,0.594647023,0.126774029,4.690606011,2.72E-06,0.000385473
ENSG00000104381,1832.034537,-0.364056125,0.077672349,-4.687074976,2.77E-06,0.000386993
ENSG00000095209,436.0257412,-0.531535001,0.113803691,-4.670630588,3.00E-06,0.000411612
ENSG00000157827,245.2384424,0.775049791,0.165852503,4.673126877,2.97E-06,0.000411612
ENSG00000183255,1037.830546,0.379554103,0.081265052,4.670569858,3.00E-06,0.000411612
ENSG00000128656,1888.884987,0.722124578,0.154715245,4.667442939,3.05E-06,0.000415345
ENSG00000055044,2046.533293,-0.335462917,0.071942603,-4.662924385,3.12E-06,0.000421968
ENSG00000148773,7.071765324,3.032990417,0.651016594,4.658852696,3.18E-06,0.000427776
ENSG00000166278,14.10940712,1.616394504,0.347420345,4.652561456,3.28E-06,0.000438368
ENSG00000211893,81.4032028,4.311087396,0.927682629,4.647157618,3.37E-06,0.000447294
ENSG00000181847,6.358806564,2.502281448,0.54160568,4.6201167,3.84E-06,0.000506688
ENSG00000076043,860.0431193,0.326153831,0.070687044,4.614053923,3.95E-06,0.000518599
ENSG00000211666,5.97855526,4.028749349,0.874043197,4.609325217,4.04E-06,0.000527394
ENSG00000075240,51.26143786,0.757472825,0.164379643,4.60806953,4.06E-06,0.000527468
ENSG00000113460,872.1524736,-0.411827377,0.089659749,-4.593224737,4.36E-06,0.000563121
ENSG00000167123,202.9805162,0.670869652,0.146125373,4.59105518,4.41E-06,0.000565699
ENSG00000172236,35.58365679,1.585847064,0.345929127,4.584312043,4.55E-06,0.000580886
ENSG00000196935,283.6073163,0.585466271,0.127784302,4.581675998,4.61E-06,0.000584878
ENSG00000232629,18.35500666,1.907169562,0.416399293,4.580146016,4.65E-06,0.000585806
ENSG00000121039,140.2109548,-0.843562471,0.184283697,-4.577520885,4.71E-06,0.000586993
ENSG00000176788,26.59752607,1.404069213,0.306743128,4.577345294,4.71E-06,0.000586993
ENSG00000133110,77.12506989,2.391191561,0.52255929,4.57592393,4.74E-06,0.000587673
ENSG00000154122,2632.267146,-0.29605386,0.064719115,-4.574442354,4.77E-06,0.00058854
ENSG00000104695,1838.652312,-0.529738804,0.116015523,-4.566102785,4.97E-06,0.00060623
ENSG00000140678,37.62648429,1.780392593,0.389933493,4.565887836,4.97E-06,0.00060623
ENSG00000165646,179.5866857,1.053405832,0.230769565,4.56475199,5.00E-06,0.00060623
ENSG00000144857,126.5819605,0.797069814,0.174705115,4.562372519,5.06E-06,0.000609792
ENSG00000173692,2156.975763,-0.398024787,0.087276723,-4.560491883,5.10E-06,0.000611936
ENSG00000102362,35.70524203,1.400902732,0.307280497,4.559035625,5.14E-06,0.000612863
ENSG00000135744,319.9393508,1.166959287,0.256091889,4.556799087,5.19E-06,0.000616092
ENSG00000153558,523.7079188,-0.377971565,0.083052946,-4.55097118,5.34E-06,0.000630021
ENSG00000203799,89.14708782,1.168918225,0.257055628,4.547335661,5.43E-06,0.000637589
ENSG00000174307,64.74204981,0.925918179,0.203707057,4.545341697,5.48E-06,0.00064025
ENSG00000100968,88.1732335,0.941845905,0.207337489,4.542574081,5.56E-06,0.000645302
ENSG00000225756,24.53721962,1.618509843,0.356410782,4.541136032,5.60E-06,0.000646318
ENSG00000105366,5.755841337,2.563422683,0.565121732,4.536053979,5.73E-06,0.000658632
ENSG00000135074,34.24051808,1.53237152,0.337921973,4.534690384,5.77E-06,0.000659467
ENSG00000119004,579.2810198,-0.473619715,0.104547667,-4.530179659,5.89E-06,0.000670232
ENSG00000196154,146.5496825,1.494456961,0.330025516,4.528307323,5.95E-06,0.00067273
ENSG00000009780,1550.659477,-0.480007601,0.106066624,-4.525529181,6.02E-06,0.000678151
ENSG00000133392,44.2662736,1.445258681,0.319456049,4.524123696,6.06E-06,0.000679207
ENSG00000092009,4.920522139,3.981021993,0.880346362,4.522108758,6.12E-06,0.000682244
ENSG00000081237,117.4302789,1.501794665,0.332380419,4.518300651,6.23E-06,0.000691137
ENSG00000258498,10.65012647,2.241775515,0.496710125,4.513247068,6.38E-06,0.000704279
ENSG00000102048,4950.101442,-0.966273724,0.214372606,-4.507449637,6.56E-06,0.000720192
ENSG00000257923,918.890862,0.31749431,0.070462908,4.505836014,6.61E-06,0.000722095
ENSG00000172638,71.25961049,0.848139465,0.188322486,4.50365478,6.68E-06,0.000725956
ENSG00000124383,1033.065845,-0.3096518,0.068804725,-4.500443828,6.78E-06,0.000733397
ENSG00000167393,15.541894,1.383391514,0.307474594,4.499205925,6.82E-06,0.000734082
ENSG00000154642,287.0754925,-0.477656447,0.10626427,-4.494986403,6.96E-06,0.000745155
ENSG00000211660,14.11799212,4.620509488,1.029222453,4.489320531,7.15E-06,0.000761554
ENSG00000213658,3.69710294,2.401775236,0.535624616,4.484064331,7.32E-06,0.000776815
ENSG00000224081,74.27522362,0.878767097,0.196059678,4.48214087,7.39E-06,0.000780101
ENSG00000188042,384.4042828,0.872175206,0.194659922,4.480507321,7.45E-06,0.000782352
ENSG00000248712,64.49253435,0.900875626,0.20119646,4.477591829,7.55E-06,0.000789351
ENSG00000004399,167.0837268,0.686342719,0.153354896,4.47551879,7.62E-06,0.00079329
ENSG00000019582,2504.101311,1.236912537,0.276670271,4.470709971,7.80E-06,0.000803757
ENSG00000137077,64.9478812,3.299064118,0.737777669,4.471623709,7.76E-06,0.000803757
ENSG00000151835,289.9206111,0.631423058,0.14126942,4.469637221,7.84E-06,0.000804041
ENSG00000113013,2852.058685,-0.292147992,0.065426473,-4.465287164,8.00E-06,0.00081299
ENSG00000179403,226.2987018,0.633705513,0.141916341,4.465345631,7.99E-06,0.00081299
ENSG00000091128,54.28309713,-1.306186669,0.292834097,-4.460500618,8.18E-06,0.00082377
ENSG00000143603,205.9154808,0.83585607,0.187365074,4.461109275,8.15E-06,0.00082377
ENSG00000234745,2763.262108,0.859402493,0.192843578,4.45647452,8.33E-06,0.000835571
ENSG00000165914,222.4439051,-0.567663188,0.127508061,-4.451978829,8.51E-06,0.000849401
ENSG00000171408,94.14702386,0.814512677,0.183407313,4.441004373,8.95E-06,0.000885712
ENSG00000259929,23.92950917,1.738501558,0.391547062,4.440083263,8.99E-06,0.000885712
ENSG00000283959,57.05389465,0.75559265,0.170157055,4.440560214,8.97E-06,0.000885712
ENSG00000140287,51.31445965,1.854097386,0.417832983,4.437412706,9.10E-06,0.000890262
ENSG00000156738,12.18128155,4.454652991,1.003963521,4.437066585,9.12E-06,0.000890262
ENSG00000141433,3258.880577,-0.838340876,0.18906279,-4.434192882,9.24E-06,0.000898245
ENSG00000173369,156.541243,1.537716217,0.347117298,4.429961362,9.42E-06,0.000912034
ENSG00000245532,3621.812837,1.187182167,0.268059632,4.428798758,9.48E-06,0.000912959
ENSG00000109133,2676.797035,-0.556233925,0.125648504,-4.426904477,9.56E-06,0.000917006
ENSG00000259370,14.18008602,2.921152136,0.660671472,4.421489738,9.80E-06,0.000936223
ENSG00000277837,7.999771845,2.324969932,0.526218926,4.418256007,9.95E-06,0.000946241
ENSG00000163644,1344.626274,-0.476775093,0.108004628,-4.414395039,1.01E-05,0.000959152
ENSG00000204525,2036.383865,0.625914402,0.14196615,4.40889889,1.04E-05,0.000979611
ENSG00000065183,350.0936077,-0.458005589,0.104045883,-4.401957843,1.07E-05,0.001002282
ENSG00000086666,1594.98176,-0.371614969,0.084413438,-4.402320011,1.07E-05,0.001002282
ENSG00000152049,65.92429983,1.069546392,0.243013664,4.401178009,1.08E-05,0.001002282
ENSG00000105696,171.5730365,1.154714289,0.263015349,4.390292414,1.13E-05,0.001044977
ENSG00000130830,744.3987684,-0.542154273,0.123488041,-4.390338265,1.13E-05,0.001044977
ENSG00000090487,813.6988453,0.501371848,0.114366333,4.383911198,1.17E-05,0.001071594
ENSG00000004059,544.1182873,-0.531266398,0.121270261,-4.380846495,1.18E-05,0.001078972
ENSG00000078808,176.322137,0.527426002,0.120400153,4.380609075,1.18E-05,0.001078972
ENSG00000099998,48.5206898,1.42701932,0.325863872,4.379188497,1.19E-05,0.001080539
ENSG00000160131,1018.601611,-0.382587787,0.08737875,-4.378499215,1.19E-05,0.001080539
ENSG00000125740,125.6122922,1.974648517,0.451390767,4.37458774,1.22E-05,0.001092959
ENSG00000168575,519.2802025,-0.403857566,0.092345306,-4.373341562,1.22E-05,0.001092959
ENSG00000186141,421.0880304,-0.425632791,0.097324298,-4.373345586,1.22E-05,0.001092959
ENSG00000107295,1038.499263,-0.414154564,0.094855233,-4.366175206,1.26E-05,0.001124867
ENSG00000020633,18.7573363,1.751976016,0.401726677,4.361114448,1.29E-05,0.001146582
ENSG00000122679,152.2202239,1.315743141,0.301992553,4.356872796,1.32E-05,0.001150537
ENSG00000146147,397.1299588,0.841553657,0.193099757,4.358129029,1.31E-05,0.001150537
ENSG00000189350,176.7183479,0.870395284,0.199750316,4.357416302,1.32E-05,0.001150537
ENSG00000196562,345.2142442,0.998834352,0.229240364,4.357148685,1.32E-05,0.001150537
ENSG00000107951,1166.188165,-0.588847565,0.135424187,-4.34817132,1.37E-05,0.001192421
ENSG00000211896,140.1564256,3.909921131,0.899783687,4.345401218,1.39E-05,0.001202834
ENSG00000126561,105.8123142,0.63810589,0.147153276,4.336334938,1.45E-05,0.001248612
ENSG00000127946,214.5701609,0.676508325,0.156060126,4.334921041,1.46E-05,0.001251774
ENSG00000185787,3922.389363,-0.338481073,0.078099506,-4.33397199,1.46E-05,0.001252313
ENSG00000075975,452.9439057,-0.458457507,0.105812672,-4.33272779,1.47E-05,0.001254551
ENSG00000122882,856.1660284,-0.440679947,0.101752797,-4.330887793,1.49E-05,0.001255388
ENSG00000149489,30.28753728,0.892840194,0.206119359,4.331665869,1.48E-05,0.001255388
ENSG00000110446,18.1512212,1.646021787,0.380261182,4.3286611,1.50E-05,0.001262002
ENSG00000125730,666.896797,1.93751851,0.447785129,4.326893382,1.51E-05,0.001262002
ENSG00000198626,274.2323405,0.799431393,0.184780667,4.326380066,1.52E-05,0.001262002
ENSG00000236963,5.527156373,2.611646056,0.603426251,4.328028573,1.50E-05,0.001262002
ENSG00000138095,1432.529127,-0.284956862,0.065908813,-4.323501657,1.54E-05,0.001269011
ENSG00000224593,225.7806813,0.890484399,0.205962408,4.323528778,1.54E-05,0.001269011
ENSG00000153234,127.3027009,1.297568583,0.300179483,4.322642466,1.54E-05,0.001269211
ENSG00000143149,1983.38697,-0.359909064,0.083361521,-4.317448403,1.58E-05,0.001272982
ENSG00000168077,34.22500772,1.62168545,0.375374221,4.320183324,1.56E-05,0.001272982
ENSG00000168411,205.7471287,-0.438366777,0.101539799,-4.317191674,1.58E-05,0.001272982
ENSG00000225630,2448.553281,-0.925556836,0.214204285,-4.3209072,1.55E-05,0.001272982
ENSG00000242615,82.55156106,-0.510256625,0.118189793,-4.317264728,1.58E-05,0.001272982
ENSG00000259623,503.8910547,-0.439345926,0.101768726,-4.317101564,1.58E-05,0.001272982
ENSG00000113231,679.2956108,-0.611252539,0.141657234,-4.315011116,1.60E-05,0.001275776
ENSG00000160932,170.4504592,1.14833723,0.266111708,4.315245054,1.59E-05,0.001275776
ENSG00000171503,861.7213371,-0.435784814,0.101089148,-4.310896096,1.63E-05,0.001295061
ENSG00000156976,18422.44184,-0.525753291,0.122009972,-4.309100974,1.64E-05,0.00130092
ENSG00000113657,476.8148674,1.125095259,0.261356264,4.304833729,1.67E-05,0.001321496
ENSG00000064300,26.29092464,1.637715918,0.380649195,4.302428424,1.69E-05,0.001331157
ENSG00000147416,2385.81094,-0.345424955,0.080301818,-4.301583276,1.70E-05,0.00133149
ENSG00000142552,21.04291583,1.348391814,0.313635768,4.299228448,1.71E-05,0.001340943
ENSG00000265179,310.2796754,-0.995595524,0.23167864,-4.297312542,1.73E-05,0.001347803
ENSG00000068615,250.7734486,0.610508949,0.142145975,4.294943634,1.75E-05,0.001352126
ENSG00000146731,2046.625201,-0.25809952,0.06010333,-4.294263212,1.75E-05,0.001352126
ENSG00000147224,745.1007323,-0.440210824,0.102486923,-4.295287736,1.74E-05,0.001352126
ENSG00000110958,2710.992747,-0.246872973,0.057529313,-4.291255373,1.78E-05,0.001365799
ENSG00000149257,122.3413663,1.004887374,0.234258032,4.289660277,1.79E-05,0.001370868
ENSG00000177337,46.40957368,1.189765207,0.277494508,4.28752704,1.81E-05,0.001379306
ENSG00000172568,24.54662709,1.710747969,0.399097274,4.286543863,1.81E-05,0.001380645
ENSG00000132604,374.1218514,-0.401417345,0.093686791,-4.284673886,1.83E-05,0.001387523
ENSG00000108379,94.92942139,1.037702028,0.242255796,4.283497218,1.84E-05,0.001390108
ENSG00000140931,57.27772084,1.109305597,0.259388691,4.276615113,1.90E-05,0.001424625
ENSG00000169403,43.69728644,1.436508838,0.335906084,4.27651926,1.90E-05,0.001424625
ENSG00000111897,7524.588137,-0.42131185,0.098732904,-4.267187867,1.98E-05,0.001480483
ENSG00000259392,19.74955954,1.385662967,0.324911047,4.264745623,2.00E-05,0.001491713
